Date,Time,Value
Mon 23 Feb 2015,20:00,Wet 
Mon 23 Feb 2015,17:50,Wet and dirty 
Mon 23 Feb 2015,16:28,Wet and dirty 
Mon 23 Feb 2015,16:02,Wet 
Mon 23 Feb 2015,12:00,Wet 
Mon 23 Feb 2015,10:18,Wet and dirty 
Mon 23 Feb 2015,08:40,Wet 
Mon 23 Feb 2015,06:01,Wet and dirty 
Mon 23 Feb 2015,02:15,Wet 
Sun 22 Feb 2015,17:35,Wet and dirty 
Sun 22 Feb 2015,16:44,Wet and dirty 
Sun 22 Feb 2015,10:55,Wet 
Sun 22 Feb 2015,07:05,Wet 
Sun 22 Feb 2015,03:40,Wet and dirty 
Sun 22 Feb 2015,03:17,Wet 
Sat 21 Feb 2015,23:00,Wet 
Sat 21 Feb 2015,19:50,Wet 
Sat 21 Feb 2015,18:18,Wet and dirty 
Sat 21 Feb 2015,13:08,Wet and dirty 
Sat 21 Feb 2015,10:42,Wet 
Sat 21 Feb 2015,08:43,Wet 
Sat 21 Feb 2015,04:45,Wet and dirty 
Fri 20 Feb 2015,23:52,Wet and dirty 
Fri 20 Feb 2015,23:25,Wet and dirty 
Fri 20 Feb 2015,18:26,Wet 
Fri 20 Feb 2015,15:25,Wet 
Fri 20 Feb 2015,10:30,Wet 
Fri 20 Feb 2015,07:16,Wet and dirty 
Fri 20 Feb 2015,03:30,Wet and dirty 
Thu 19 Feb 2015,21:49,Wet 
Thu 19 Feb 2015,19:00,Wet 
Thu 19 Feb 2015,16:45,Wet 
Thu 19 Feb 2015,16:20,Wet 
Thu 19 Feb 2015,11:07,Wet and dirty 
Thu 19 Feb 2015,09:00,Wet and dirty 
Thu 19 Feb 2015,07:20,Wet and dirty 
Thu 19 Feb 2015,04:13,Wet but dirty
Wed 18 Feb 2015,18:15,Wet 
Wed 18 Feb 2015,15:10,Wet and dirty 
Wed 18 Feb 2015,13:02,Wet 
Wed 18 Feb 2015,09:20,Wet and dirty 
Wed 18 Feb 2015,07:04,Wet and dirty 
Wed 18 Feb 2015,04:06,Wet and dirty 
Tue 17 Feb 2015,22:26,Wet 
Tue 17 Feb 2015,18:20,Wet 
