Date,Time,Bottle,Solid food,Expressions,Breast feed(left),Breast feed(right),Breast feed(manual)
Mon 23 Feb 2015,23:15,,,,,,08m 00s 
Mon 23 Feb 2015,22:58,,,,,,05m 06s 
Mon 23 Feb 2015,22:52,,,,,,05m 03s 
Mon 23 Feb 2015,18:51,,,,33m 18s,07m 54s, right 5:35 started from 19:05
Mon 23 Feb 2015,18:35,,,,,,07m 07s 
Mon 23 Feb 2015,16:24,,,,,,09m 29s 
Mon 23 Feb 2015,15:46,,,,03m 24s,16m 01s, right started from 16.06
Mon 23 Feb 2015,12:19,,,,,,09m 11s 
Mon 23 Feb 2015,11:59,,,,,,11m 58s 
Mon 23 Feb 2015,09:21,,,,,,20m 00s 
Mon 23 Feb 2015,09:10,,,,,,09m 42s 
Mon 23 Feb 2015,08:52,,,,,,06m 00s 
Mon 23 Feb 2015,08:40,,,,,,08m 27s 
Mon 23 Feb 2015,06:11,,,,,,07m 50s 
Mon 23 Feb 2015,05:49,,,,,,08m 14s 
Mon 23 Feb 2015,02:29,,,,,,18m 58s 
Sun 22 Feb 2015,22:35,,,,,,01m 57s 
Sun 22 Feb 2015,22:17,,,,,,10m 00s 
Sun 22 Feb 2015,21:53,,,,,,07m 59s 
Sun 22 Feb 2015,19:12,,,,,,09m 02s 
Sun 22 Feb 2015,19:01,,,,,,05m 00s instead of teats 
Sun 22 Feb 2015,16:47,,,,21m 16s,02m 55s, 
Sun 22 Feb 2015,12:50,,,,,,08m 05s 
Sun 22 Feb 2015,12:42,,,,,,04m 57s 
Sun 22 Feb 2015,10:22,,,,,,11m 53s 
Sun 22 Feb 2015,09:03,,,,,,10m 00s 
Sun 22 Feb 2015,06:53,,,,,,11m 44s 
Sun 22 Feb 2015,03:58,,,,,,02m 22s 
Sun 22 Feb 2015,03:17,,,,,,16m 15s 
Sat 21 Feb 2015,20:00,,,,,,03m 45s 
Sat 21 Feb 2015,19:15,,,,,,07m 14s 
Sat 21 Feb 2015,18:55,,,,,,10m 00s 
Sat 21 Feb 2015,18:37,,,,,,09m 05s 
Sat 21 Feb 2015,16:07,,,,,,12m 00s 
Sat 21 Feb 2015,15:48,,,,,,10m 04s 
Sat 21 Feb 2015,13:08,,,,26m 37s,03m 03s, 
Sat 21 Feb 2015,10:06,,,,,,11m 36s 
Sat 21 Feb 2015,07:10,,,,,,08m 57s 
Sat 21 Feb 2015,04:51,,,,,,05m 00s 
Sat 21 Feb 2015,04:25,,,,,,05m 37s 
Fri 20 Feb 2015,23:55,,,,,,04m 00s 
Fri 20 Feb 2015,23:30,,,120mL,
Fri 20 Feb 2015,18:28,,,,25m 00s,10m 00s, 
Fri 20 Feb 2015,16:24,,,,,,08m 37s 
Fri 20 Feb 2015,16:03,,,,,,04m 00s 
Fri 20 Feb 2015,15:11,,,,,,04m 56s 
Fri 20 Feb 2015,14:53,,,,,,04m 21s 
Fri 20 Feb 2015,14:25,,,,,,05m 07s 
Fri 20 Feb 2015,10:22,,,,,,47m 10s 
Fri 20 Feb 2015,08:12,,,,,,08m 32s 
Fri 20 Feb 2015,07:08,,,,,,05m 56s 
Fri 20 Feb 2015,03:58,,,,,,07m 16s 
Fri 20 Feb 2015,03:20,,,,,,13m 55s 
Thu 19 Feb 2015,22:24,,,,,,09m 33s 
Thu 19 Feb 2015,21:41,,,,00m 08s,16m 43s, 
Thu 19 Feb 2015,18:58,,,,,,10m 43s 
Thu 19 Feb 2015,17:40,,,,,,06m 23s 
Thu 19 Feb 2015,16:48,,,,,,28m 39s 
Thu 19 Feb 2015,14:15,,,,,,10m 23s 
Thu 19 Feb 2015,12:45,,,,,,15m 00s 
Thu 19 Feb 2015,10:34,,,,,,08m 16s 
Thu 19 Feb 2015,10:21,,,,,,04m 11s 
Thu 19 Feb 2015,10:15,,,,,,04m 09s 
Thu 19 Feb 2015,08:24,,,,,,08m 46s 
Thu 19 Feb 2015,07:37,,,,,,22m 38s 
Thu 19 Feb 2015,07:05,,,,,,07m 02s 
Thu 19 Feb 2015,03:57,,,,,,11m 35s 
Thu 19 Feb 2015,00:13,,,,,,07m 00s 
Wed 18 Feb 2015,23:30,,,90mL,
Wed 18 Feb 2015,19:15,,,,10m 00s,08m 00s, 
Wed 18 Feb 2015,18:33,,,,,,05m 46s 
Wed 18 Feb 2015,17:10,,,,,,01m 19s 
Wed 18 Feb 2015,16:15,,,,15m 00s,03m 00s, 
Wed 18 Feb 2015,12:53,,,,03m 45s,18m 48s, Right started at 13:20
Wed 18 Feb 2015,09:36,,,,,,21m 50s 
Wed 18 Feb 2015,08:56,,,,,,06m 00s 
Wed 18 Feb 2015,06:37,,,,,,10m 00s 
Wed 18 Feb 2015,03:03,,,,,,31m 03s cont from 3:35 - 13:.04
Tue 17 Feb 2015,22:14,,,,,,10m 25s 
Tue 17 Feb 2015,21:24,,,,,,17m 13s 
Tue 17 Feb 2015,19:05,,,,,,09m 01s 
Tue 17 Feb 2015,18:24,,,,,,30m 00s 
Tue 17 Feb 2015,14:49,,,,,,17m 28s 
Tue 17 Feb 2015,11:07,,,,,,08m 06s 
Tue 17 Feb 2015,10:25,,,,,,08m 26s 
Tue 17 Feb 2015,08:52,,,,,,04m 32s 
