Date,Fell asleep,Woke up,Sleeping time
Mon 23 Feb 2015,23:25,23:29,0h 4m 
Mon 23 Feb 2015,20:25,22:31,2h 6m 
Mon 23 Feb 2015,17:00,17:05,0h 5m 
Mon 23 Feb 2015,12:40,15:35,2h 55m 
Mon 23 Feb 2015,10:50,11:42,0h 52m 
Mon 23 Feb 2015,06:21,08:35,2h 14m 
Mon 23 Feb 2015,03:05,05:46,2h 41m 
Sun 22 Feb 2015,22:40,02:12,3h 32m 
Sun 22 Feb 2015,20:00,21:40,1h 40m 
Sun 22 Feb 2015,17:40,18:30,0h 50m 
Sun 22 Feb 2015,14:40,16:40,2h 0m 
Sun 22 Feb 2015,11:09,11:55,0h 46m 
Sun 22 Feb 2015,10:30,10:50,0h 20m 
Sun 22 Feb 2015,09:15,10:20,1h 5m 
Sun 22 Feb 2015,07:30,09:00,1h 30m 
Sun 22 Feb 2015,04:10,06:50,2h 40m 
Sat 21 Feb 2015,23:20,04:11,4h 51m 
Sat 21 Feb 2015,20:30,22:55,2h 25m It was intermittent sleep. 
Sat 21 Feb 2015,17:16,18:20,1h 4m 
Sat 21 Feb 2015,14:23,15:00,0h 37m 
Sat 21 Feb 2015,11:30,13:00,1h 30m 
Sat 21 Feb 2015,05:15,07:08,1h 53m 
Sat 21 Feb 2015,00:05,04:25,4h 20m 
Fri 20 Feb 2015,20:50,23:18,2h 28m 
Fri 20 Feb 2015,17:30,17:50,0h 20m 
Fri 20 Feb 2015,15:16,16:02,0h 46m 
Fri 20 Feb 2015,14:58,15:09,0h 11m 
Fri 20 Feb 2015,14:30,14:50,0h 20m 
Fri 20 Feb 2015,12:03,14:22,2h 19m 
Fri 20 Feb 2015,09:03,10:10,1h 7m 
Fri 20 Feb 2015,04:15,07:02,2h 47m left in crib at 4:15
Thu 19 Feb 2015,22:40,03:06,4h 26m 
Thu 19 Feb 2015,18:00,18:27,0h 27m 
Thu 19 Feb 2015,13:15,15:30,2h 15m 
Thu 19 Feb 2015,11:30,12:35,1h 5m 
Thu 19 Feb 2015,10:40,11:00,0h 20m 
Thu 19 Feb 2015,09:10,09:21,0h 11m 
Thu 19 Feb 2015,04:23,07:32,3h 9m 
Thu 19 Feb 2015,00:21,03:55,3h 34m 
Wed 18 Feb 2015,19:40,23:19,3h 39m 
Wed 18 Feb 2015,17:38,17:45,0h 7m 
Wed 18 Feb 2015,14:20,15:05,0h 45m 
Wed 18 Feb 2015,10:33,12:49,2h 16m 
Wed 18 Feb 2015,09:55,10:00,0h 5m 
Wed 18 Feb 2015,07:01,09:06,2h 5m 
Wed 18 Feb 2015,03:55,06:30,2h 35m 
Tue 17 Feb 2015,22:35,03:06,4h 31m 
Tue 17 Feb 2015,15:05,18:20,3h 15m 
Tue 17 Feb 2015,13:10,14:40,1h 30m 
Tue 17 Feb 2015,11:30,12:45,1h 15m 
Tue 17 Feb 2015,05:17,07:50,2h 33m 
Tue 17 Feb 2015,00:30,04:46,4h 16m 
Mon 16 Feb 2015,12:15,12:48,0h 33m 
Mon 16 Feb 2015,07:30,09:18,1h 48m 
Mon 16 Feb 2015,06:20,07:20,1h 0m 
Mon 16 Feb 2015,02:45,06:00,3h 15m 
Sun 15 Feb 2015,22:39,02:10,3h 31m 
Sun 15 Feb 2015,20:30,22:30,2h 0m 
Sun 15 Feb 2015,14:45,15:21,0h 36m 
Sun 15 Feb 2015,13:00,13:33,0h 33m 
Sun 15 Feb 2015,10:19,12:45,2h 26m 
Sun 15 Feb 2015,08:25,09:25,1h 0m 
Sun 15 Feb 2015,06:30,08:14,1h 44m 
Sun 15 Feb 2015,03:06,05:33,2h 27m 
Sat 14 Feb 2015,22:30,02:19,3h 49m 
Sat 14 Feb 2015,16:00,18:45,2h 45m 
Sat 14 Feb 2015,12:55,14:16,1h 21m 
Sat 14 Feb 2015,09:55,11:35,1h 40m 
Sat 14 Feb 2015,05:27,06:42,1h 15m 
Sat 14 Feb 2015,01:30,04:35,3h 5m 
Fri 13 Feb 2015,22:40,01:06,2h 26m 
Fri 13 Feb 2015,16:40,18:35,1h 55m 
Fri 13 Feb 2015,12:28,15:20,2h 52m 
Fri 13 Feb 2015,03:25,07:06,3h 41m 
Thu 12 Feb 2015,23:30,02:55,3h 25m 
Thu 12 Feb 2015,20:10,20:29,0h 19m 
Thu 12 Feb 2015,17:20,17:50,0h 30m 
Thu 12 Feb 2015,13:00,15:15,2h 15m 
Thu 12 Feb 2015,10:50,11:45,0h 55m 
Thu 12 Feb 2015,10:25,10:35,0h 10m 
Thu 12 Feb 2015,09:40,10:10,0h 30m 
Thu 12 Feb 2015,04:55,07:22,2h 27m 
Wed 11 Feb 2015,23:15,04:05,4h 50m 
Wed 11 Feb 2015,18:45,19:04,0h 19m 
Wed 11 Feb 2015,15:45,16:40,0h 55m 
Wed 11 Feb 2015,15:00,15:30,0h 30m 
Wed 11 Feb 2015,11:15,13:35,2h 20m 
Wed 11 Feb 2015,08:02,08:56,0h 54m 
Wed 11 Feb 2015,06:12,07:20,1h 8m 
Wed 11 Feb 2015,04:14,05:50,1h 36m 
Wed 11 Feb 2015,00:30,04:02,3h 32m 
Tue 10 Feb 2015,19:30,23:30,4h 0m 
Tue 10 Feb 2015,16:10,17:10,1h 0m 
Tue 10 Feb 2015,13:00,15:00,2h 0m 
Tue 10 Feb 2015,10:40,11:20,0h 40m 
Tue 10 Feb 2015,05:30,07:40,2h 10m 
Tue 10 Feb 2015,02:15,05:05,2h 50m 
Mon 9 Feb 2015,23:15,01:36,2h 21m 
Mon 9 Feb 2015,19:00,22:25,3h 25m 
Mon 9 Feb 2015,18:15,18:45,0h 30m 
Mon 9 Feb 2015,16:00,16:10,0h 10m 
Mon 9 Feb 2015,13:10,14:20,1h 10m 
Mon 9 Feb 2015,11:55,12:15,0h 20m 
Mon 9 Feb 2015,08:20,09:20,1h 0m 
Mon 9 Feb 2015,05:01,07:35,2h 34m 
Mon 9 Feb 2015,00:52,04:19,3h 27m 
Sun 8 Feb 2015,20:30,22:30,2h 0m 
Sun 8 Feb 2015,16:55,17:06,0h 11m 
Sun 8 Feb 2015,15:00,15:15,0h 15m 
Sun 8 Feb 2015,11:15,14:15,3h 0m 
Sun 8 Feb 2015,09:15,09:45,0h 30m 
Sun 8 Feb 2015,05:47,08:00,2h 13m 
Sun 8 Feb 2015,02:45,05:20,2h 35m 
Sat 7 Feb 2015,23:50,02:04,2h 14m 
Sat 7 Feb 2015,20:03,21:34,1h 31m 
Sat 7 Feb 2015,18:30,19:30,1h 0m 
Sat 7 Feb 2015,14:30,17:30,3h 0m 
Sat 7 Feb 2015,12:55,14:01,1h 6m 
Sat 7 Feb 2015,11:30,12:15,0h 45m 
